iter	Logloss
0	0.6905117475
1	0.686561665
2	0.6842455727
3	0.682043646
4	0.6797063109
5	0.6760625843
6	0.6724970221
7	0.6707586914
8	0.6691527466
9	0.6670172879
10	0.6633931891
11	0.6617637507
12	0.6603686961
13	0.6591689848
14	0.6580019593
15	0.6565108737
16	0.654839593
17	0.6534281719
18	0.6525049489
19	0.6492041474
20	0.6479976572
21	0.6466643684
22	0.6445950401
23	0.6434827028
24	0.6423476116
25	0.6413471222
26	0.6372283104
27	0.6363516683
28	0.6351602236
29	0.6340756068
30	0.6333566414
31	0.6309013545
32	0.6302182549
33	0.6296135972
34	0.6273622388
35	0.6265770349
36	0.6259018487
37	0.6246197281
38	0.622588038
39	0.6217757597
40	0.6212073847
41	0.6202781938
42	0.6187444411
43	0.6179997854
44	0.6172416011
45	0.6165471508
46	0.6159329605
47	0.6150856211
48	0.6145696358
49	0.6128187168
50	0.612259966
51	0.6116754273
52	0.6098204584
53	0.6091456473
54	0.6083868773
55	0.6070604259
56	0.6065047005
57	0.6059565362
58	0.6052737669
59	0.6046626228
60	0.6040051824
61	0.6035727909
62	0.6022257723
63	0.6017472118
64	0.6014001047
65	0.6009917778
66	0.6006070779
67	0.6001268777
68	0.5997703586
69	0.5993948741
70	0.5979845212
71	0.5975664593
72	0.5971765636
73	0.5968420408
74	0.5962456179
75	0.595792137
76	0.5954050988
77	0.5950845636
78	0.5946704825
79	0.5943206732
80	0.5938867487
81	0.593399206
82	0.5930846144
83	0.5926595156
84	0.5923123503
85	0.5918496395
86	0.5916385516
87	0.5912603301
88	0.5909394269
89	0.5907101359
90	0.590341169
91	0.5898822895
92	0.5895066384
93	0.5891166754
94	0.588771236
95	0.5881729299
96	0.587797245
97	0.5871558141
98	0.5866811973
99	0.5864934406
100	0.58602906
101	0.5854603243
102	0.5850961365
103	0.5848154595
104	0.5844296205
105	0.5842920415
106	0.5838028887
107	0.5832901316
108	0.5830300705
109	0.5822328703
110	0.5817976105
111	0.5814165277
112	0.5810655639
113	0.5807709785
114	0.5805320454
115	0.5801175993
116	0.5797800311
117	0.5794449331
118	0.5791882314
119	0.5788757158
120	0.5786781659
121	0.5783109478
122	0.577901497
123	0.5776717146
124	0.5773912298
125	0.5771041023
126	0.5767875876
127	0.5763447534
128	0.5759350794
129	0.5755491485
130	0.575183987
131	0.5748626981
132	0.574607672
133	0.5743118409
134	0.5737740492
