iter	Passed	Remaining
0	26	26010
1	32	16171
2	36	12195
3	41	10232
4	46	9158
5	50	8330
6	56	7946
7	62	7778
8	68	7521
9	73	7282
10	77	6998
11	81	6748
12	86	6601
13	92	6535
14	102	6698
15	108	6645
16	119	6914
17	126	6921
18	131	6796
19	139	6837
20	145	6772
21	150	6672
22	154	6553
23	161	6587
24	166	6502
25	174	6545
26	179	6471
27	186	6478
28	191	6409
29	196	6341
30	204	6382
31	213	6455
32	218	6407
33	224	6385
34	230	6353
35	238	6378
36	243	6339
37	250	6336
38	257	6341
39	262	6294
40	267	6248
41	275	6291
42	281	6272
43	288	6259
44	293	6218
45	297	6159
46	303	6161
47	311	6176
48	316	6134
49	323	6146
50	329	6136
51	335	6109
52	344	6149
53	350	6147
54	357	6143
55	361	6092
56	368	6095
57	375	6096
58	380	6073
59	388	6090
60	394	6072
61	399	6044
62	403	6006
63	407	5964
64	412	5931
65	417	5902
66	421	5871
67	425	5837
68	430	5804
69	434	5770
70	439	5744
71	443	5712
72	447	5680
73	451	5655
74	456	5632
75	460	5601
76	465	5574
77	471	5570
78	475	5544
79	480	5524
80	485	5505
81	489	5476
82	492	5446
83	497	5420
84	501	5397
85	505	5375
86	511	5370
87	518	5373
88	523	5358
89	538	5440
90	543	5425
91	549	5424
92	557	5435
93	566	5455
94	580	5531
95	591	5571
96	598	5574
97	611	5625
98	625	5692
99	636	5730
100	646	5754
101	653	5751
102	666	5800
103	680	5866
104	694	5917
105	703	5932
106	717	5990
107	729	6021
108	736	6021
109	740	5994
110	745	5972
111	751	5960
112	756	5937
113	762	5925
114	767	5903
115	771	5877
116	775	5852
117	780	5836
118	785	5813
119	791	5803
120	798	5797
121	802	5776
122	806	5751
123	811	5733
124	817	5722
125	821	5700
126	826	5679
127	830	5660
128	835	5643
129	841	5628
130	848	5625
131	853	5615
132	858	5598
133	863	5579
134	869	5570
135	874	5558
136	879	5539
137	884	5523
138	888	5501
139	895	5499
140	899	5482
141	905	5469
142	910	5454
143	914	5438
144	919	5422
145	925	5411
146	929	5394
147	934	5380
148	938	5361
149	942	5342
150	946	5323
151	950	5304
152	955	5288
153	959	5272
154	964	5258
155	968	5240
156	972	5220
157	976	5204
158	980	5186
159	984	5167
160	988	5149
161	994	5143
162	1000	5136
163	1004	5119
164	1008	5103
165	1012	5086
166	1016	5068
167	1020	5054
168	1025	5043
169	1033	5043
170	1037	5030
171	1042	5018
172	1050	5023
173	1058	5022
174	1063	5013
175	1079	5053
176	1084	5042
177	1090	5037
178	1095	5025
179	1104	5030
180	1110	5024
181	1116	5018
182	1121	5008
183	1126	4997
184	1132	4989
185	1137	4977
186	1142	4967
187	1150	4968
188	1154	4953
189	1159	4943
190	1165	4935
191	1169	4922
192	1173	4907
193	1179	4900
194	1186	4896
195	1191	4888
196	1195	4873
197	1199	4858
198	1203	4845
199	1207	4831
200	1212	4820
201	1217	4808
202	1221	4797
203	1226	4783
204	1230	4772
205	1235	4762
206	1242	4758
207	1250	4763
208	1257	4758
209	1264	4757
210	1270	4751
211	1278	4753
212	1283	4742
213	1289	4737
214	1301	4750
215	1308	4747
216	1316	4749
217	1321	4741
218	1333	4755
219	1340	4754
220	1347	4749
221	1354	4747
222	1358	4734
223	1365	4729
224	1372	4726
225	1388	4754
226	1401	4774
227	1419	4805
228	1438	4844
229	1452	4861
230	1466	4881
231	1480	4902
232	1498	4933
233	1513	4952
234	1531	4986
235	1542	4992
236	1558	5018
237	1577	5049
238	1601	5100
239	1614	5111
240	1627	5124
241	1643	5148
242	1652	5147
243	1664	5157
244	1673	5157
245	1685	5164
246	1701	5186
247	1716	5205
248	1727	5209
249	1735	5207
250	1751	5225
251	1762	5232
252	1775	5242
253	1784	5239
254	1801	5262
255	1818	5284
256	1829	5289
257	1845	5308
258	1859	5321
259	1874	5335
260	1891	5355
261	1898	5346
262	1905	5339
263	1913	5334
264	1921	5328
265	1928	5321
266	1936	5316
267	1946	5316
268	1954	5312
269	1959	5298
270	1963	5282
271	1968	5268
272	1974	5258
273	1984	5257
274	1988	5241
275	1992	5226
276	1998	5216
277	2004	5205
278	2009	5191
279	2014	5179
280	2018	5164
281	2022	5149
282	2029	5140
283	2033	5126
284	2037	5111
285	2041	5097
286	2047	5085
287	2063	5101
288	2068	5088
289	2072	5074
290	2080	5069
291	2086	5057
292	2090	5044
293	2094	5030
294	2099	5017
295	2104	5004
296	2109	4993
297	2115	4983
298	2119	4968
299	2123	4955
300	2128	4941
301	2132	4928
302	2136	4915
303	2140	4900
304	2144	4886
305	2148	4873
306	2152	4859
307	2163	4860
308	2167	4848
309	2172	4834
310	2176	4820
311	2180	4807
312	2185	4797
313	2192	4790
314	2197	4778
315	2202	4766
316	2206	4754
317	2211	4742
318	2215	4729
319	2219	4715
320	2222	4701
321	2227	4689
322	2231	4676
323	2235	4663
324	2239	4651
325	2244	4639
326	2247	4626
327	2252	4614
328	2257	4604
329	2261	4592
330	2266	4580
331	2270	4568
332	2275	4557
333	2279	4545
334	2283	4533
335	2288	4522
336	2293	4511
337	2297	4499
338	2301	4487
339	2305	4475
340	2309	4463
341	2313	4451
342	2317	4438
343	2320	4425
344	2324	4414
345	2328	4401
346	2332	4389
347	2336	4377
348	2341	4367
349	2347	4360
350	2351	4348
351	2356	4337
352	2360	4325
353	2364	4314
354	2368	4302
355	2373	4293
356	2378	4284
357	2384	4276
358	2391	4270
359	2400	4268
360	2408	4262
361	2413	4254
362	2418	4244
363	2423	4234
364	2428	4224
365	2432	4214
366	2437	4204
367	2441	4193
368	2446	4182
369	2450	4172
370	2457	4166
371	2463	4159
372	2468	4149
373	2473	4139
374	2481	4136
375	2490	4133
376	2494	4122
377	2501	4116
378	2506	4106
379	2510	4096
380	2517	4089
381	2521	4079
382	2525	4069
383	2530	4058
384	2534	4049
385	2538	4038
386	2545	4031
387	2550	4023
388	2555	4013
389	2559	4003
390	2563	3993
391	2568	3984
392	2574	3976
393	2581	3971
394	2588	3963
395	2593	3956
396	2599	3947
397	2602	3936
398	2606	3926
399	2612	3918
400	2616	3909
401	2620	3898
402	2625	3888
403	2633	3884
404	2637	3875
405	2641	3865
406	2648	3858
407	2653	3849
408	2657	3840
409	2661	3829
410	2665	3820
411	2670	3810
412	2675	3802
413	2679	3792
414	2684	3783
415	2691	3778
416	2697	3770
417	2706	3769
418	2721	3773
419	2728	3768
420	2737	3764
421	2744	3758
422	2760	3765
423	2768	3760
424	2778	3759
425	2789	3759
426	2800	3757
427	2815	3763
428	2826	3761
429	2835	3759
430	2842	3752
431	2852	3749
432	2858	3743
433	2874	3748
434	2890	3754
435	2897	3747
436	2910	3749
437	2920	3747
438	2924	3737
439	2929	3728
440	2934	3719
441	2938	3709
442	2942	3700
443	2947	3691
444	2952	3682
445	2956	3673
446	2964	3667
447	2973	3663
448	2978	3654
449	2982	3645
450	2988	3637
451	2994	3630
452	2999	3622
453	3005	3614
454	3009	3604
455	3013	3595
456	3018	3586
457	3022	3577
458	3028	3569
459	3033	3560
460	3038	3552
